location of image,Original no of persons in Density Map,Predicted no of persons in Density Map
"('seq_001601.jpg',)",29.96133041381836,34.52662
"('seq_001602.jpg',)",28.946067810058594,31.832281
"('seq_001603.jpg',)",28.98841094970703,32.935825
"('seq_001604.jpg',)",32.92961502075195,39.67289
"('seq_001605.jpg',)",31.01958465576172,36.893524
"('seq_001606.jpg',)",33.5845947265625,34.047855
"('seq_001607.jpg',)",33.5665168762207,33.553516
"('seq_001608.jpg',)",34.51155471801758,29.808376
"('seq_001609.jpg',)",30.947887420654297,29.519615
"('seq_001610.jpg',)",28.816722869873047,27.213646
"('seq_001611.jpg',)",27.67127799987793,29.196993
"('seq_001612.jpg',)",26.479705810546875,28.057196
"('seq_001613.jpg',)",29.886112213134766,28.93959
"('seq_001614.jpg',)",30.998672485351562,28.268486
"('seq_001615.jpg',)",28.89344596862793,27.755873
"('seq_001616.jpg',)",31.99128532409668,27.993454
"('seq_001617.jpg',)",35.27692413330078,29.593185
"('seq_001618.jpg',)",34.85424041748047,34.414562
"('seq_001619.jpg',)",36.15225601196289,33.215782
"('seq_001620.jpg',)",29.97774314880371,29.849823
"('seq_001621.jpg',)",31.986934661865234,28.54493
"('seq_001622.jpg',)",32.833492279052734,29.969166
"('seq_001623.jpg',)",36.64500427246094,33.230915
"('seq_001624.jpg',)",36.933712005615234,32.605854
"('seq_001625.jpg',)",32.833702087402344,34.949184
"('seq_001626.jpg',)",39.46799850463867,37.16007
"('seq_001627.jpg',)",41.560577392578125,40.61444
"('seq_001628.jpg',)",42.790103912353516,37.987926
"('seq_001629.jpg',)",40.962459564208984,36.62583
"('seq_001630.jpg',)",40.534664154052734,36.04435
"('seq_001631.jpg',)",42.76332473754883,40.563065
"('seq_001632.jpg',)",41.70161437988281,42.405853
"('seq_001633.jpg',)",45.59687042236328,44.94583
"('seq_001634.jpg',)",44.5185432434082,43.071262
"('seq_001635.jpg',)",43.9244270324707,42.23235
"('seq_001636.jpg',)",40.96067810058594,39.9369
"('seq_001637.jpg',)",44.95878601074219,42.238636
"('seq_001638.jpg',)",40.71516799926758,41.499798
"('seq_001639.jpg',)",44.878807067871094,42.074127
"('seq_001640.jpg',)",42.94263458251953,47.290337
"('seq_001641.jpg',)",39.48735046386719,44.896255
"('seq_001642.jpg',)",39.911903381347656,35.452538
"('seq_001643.jpg',)",43.28936004638672,35.60926
"('seq_001644.jpg',)",44.70695495605469,40.81596
"('seq_001645.jpg',)",43.64455032348633,43.17014
"('seq_001646.jpg',)",43.48478698730469,46.659584
"('seq_001647.jpg',)",43.70851516723633,44.573154
